onet_soc_code,element_id,importance,level,element_type,element_name,derived_from
43-2011.00,2.C.7.b,1.49,0.74,knowledge,Foreign Language,raw
43-2011.00,2.C.7.c,1.01,0.01,knowledge,Fine Arts,raw
43-2011.00,2.C.7.d,1.06,0.06,knowledge,History and Archeology,raw
43-2011.00,2.C.7.e,1.49,1.05,knowledge,Philosophy and Theology,raw
43-2011.00,2.C.8.a,2.54,1.66,knowledge,Public Safety and Security,raw
43-2011.00,2.C.8.b,1.94,1.45,knowledge,Law and Government,raw
43-2011.00,2.C.9.a,3.34,1.82,knowledge,Telecommunications,raw
43-2011.00,2.C.9.b,2.73,2.46,knowledge,Communications and Media,raw
43-2021.00,2.C.1.a,2.59,2.45,knowledge,Administration and Management,raw
43-2021.00,2.C.1.b,3.59,3.84,knowledge,Administrative,raw
43-2021.00,2.C.1.c,1.6,0.65,knowledge,Economics and Accounting,raw
43-2021.00,2.C.1.d,1.79,0.88,knowledge,Sales and Marketing,raw
43-2021.00,2.C.1.e,4.24,5.46,knowledge,Customer and Personal Service,raw
43-2021.00,2.C.1.f,2.24,2.4,knowledge,Personnel and Human Resources,raw
43-2021.00,2.C.10,1.3,0.4,knowledge,Transportation,raw
43-2021.00,2.C.2.a,1.79,0.56,knowledge,Production and Processing,raw
43-2021.00,2.C.2.b,1.27,0.33,knowledge,Food Production,raw
43-2021.00,2.C.3.a,3.11,3.42,knowledge,Computers and Electronics,raw
43-2021.00,2.C.3.b,1.44,0.91,knowledge,Engineering and Technology,raw
43-2021.00,2.C.3.c,1.23,0.39,knowledge,Design,raw
43-2021.00,2.C.3.d,1.1,0.25,knowledge,Building and Construction,raw
43-2021.00,2.C.3.e,1.17,0.28,knowledge,Mechanical,raw
43-2021.00,2.C.4.a,1.7,1.47,knowledge,Mathematics,raw
43-2021.00,2.C.4.b,1.16,0.22,knowledge,Physics,raw
43-2021.00,2.C.4.c,1.22,0.43,knowledge,Chemistry,raw
43-2021.00,2.C.4.d,1.11,0.28,knowledge,Biology,raw
43-2021.00,2.C.4.e,1.65,0.92,knowledge,Psychology,raw
43-2021.00,2.C.4.f,1.54,0.92,knowledge,Sociology and Anthropology,raw
43-2021.00,2.C.4.g,1.56,0.77,knowledge,Geography,raw
43-2021.00,2.C.5.a,1.61,1.12,knowledge,Medicine and Dentistry,raw
43-2021.00,2.C.5.b,1.16,0.36,knowledge,Therapy and Counseling,raw
43-2021.00,2.C.6,2.31,2.44,knowledge,Education and Training,raw
43-2021.00,2.C.7.a,3.2,2.76,knowledge,English Language,raw
43-2021.00,2.C.7.b,1.72,1.21,knowledge,Foreign Language,raw
43-2021.00,2.C.7.c,1.18,0.23,knowledge,Fine Arts,raw
43-2021.00,2.C.7.d,1.33,0.4,knowledge,History and Archeology,raw
43-2021.00,2.C.7.e,1.48,1.31,knowledge,Philosophy and Theology,raw
43-2021.00,2.C.8.a,2.43,2.27,knowledge,Public Safety and Security,raw
43-2021.00,2.C.8.b,1.59,0.65,knowledge,Law and Government,raw
43-2021.00,2.C.9.a,3.75,2.96,knowledge,Telecommunications,raw
43-2021.00,2.C.9.b,2.13,1.77,knowledge,Communications and Media,raw
43-3011.00,2.C.1.a,3.07,4.27,knowledge,Administration and Management,raw
43-3011.00,2.C.1.b,3.07,4.09,knowledge,Administrative,raw
43-3011.00,2.C.1.c,3.26,3.15,knowledge,Economics and Accounting,raw
43-3011.00,2.C.1.d,2.14,1.46,knowledge,Sales and Marketing,raw
43-3011.00,2.C.1.e,3.77,5.18,knowledge,Customer and Personal Service,raw
43-3011.00,2.C.1.f,1.74,1.35,knowledge,Personnel and Human Resources,raw
43-3011.00,2.C.10,1.08,0.07,knowledge,Transportation,raw
43-3011.00,2.C.2.a,2.35,2.0,knowledge,Production and Processing,raw
43-3011.00,2.C.2.b,1.06,0.17,knowledge,Food Production,raw
43-3011.00,2.C.3.a,3.12,4.19,knowledge,Computers and Electronics,raw
43-3011.00,2.C.3.b,1.27,0.68,knowledge,Engineering and Technology,raw
43-3011.00,2.C.3.c,1.13,0.25,knowledge,Design,raw
43-3011.00,2.C.3.d,1.14,0.26,knowledge,Building and Construction,raw
43-3011.00,2.C.3.e,1.08,0.22,knowledge,Mechanical,raw
43-3011.00,2.C.4.a,3.31,3.61,knowledge,Mathematics,raw
43-3011.00,2.C.4.b,1.0,0.0,knowledge,Physics,raw
43-3011.00,2.C.4.c,1.0,0.01,knowledge,Chemistry,raw
43-3011.00,2.C.4.d,1.0,0.0,knowledge,Biology,raw
43-3011.00,2.C.4.e,1.85,1.36,knowledge,Psychology,raw
43-3011.00,2.C.4.f,1.59,0.69,knowledge,Sociology and Anthropology,raw
43-3011.00,2.C.4.g,1.26,0.58,knowledge,Geography,raw
43-3011.00,2.C.5.a,1.1,0.1,knowledge,Medicine and Dentistry,raw
43-3011.00,2.C.5.b,1.12,0.25,knowledge,Therapy and Counseling,raw
43-3011.00,2.C.6,2.24,2.06,knowledge,Education and Training,raw
43-3011.00,2.C.7.a,4.09,4.08,knowledge,English Language,raw
43-3011.00,2.C.7.b,2.04,1.81,knowledge,Foreign Language,raw
43-3011.00,2.C.7.c,1.0,0.0,knowledge,Fine Arts,raw
43-3011.00,2.C.7.d,1.02,0.02,knowledge,History and Archeology,raw
43-3011.00,2.C.7.e,1.08,0.23,knowledge,Philosophy and Theology,raw
43-3011.00,2.C.8.a,1.57,0.77,knowledge,Public Safety and Security,raw
43-3011.00,2.C.8.b,3.25,2.71,knowledge,Law and Government,raw
43-3011.00,2.C.9.a,1.91,1.32,knowledge,Telecommunications,raw
43-3011.00,2.C.9.b,2.23,2.27,knowledge,Communications and Media,raw
43-3021.00,2.C.1.a,3.41,3.15,knowledge,Administration and Management,raw
43-3021.00,2.C.1.b,4.41,5.77,knowledge,Administrative,raw
43-3021.00,2.C.1.c,3.53,3.69,knowledge,Economics and Accounting,raw
43-3021.00,2.C.1.d,2.33,2.13,knowledge,Sales and Marketing,raw
43-3021.00,2.C.1.e,4.24,4.54,knowledge,Customer and Personal Service,raw
43-3021.00,2.C.1.f,2.79,1.98,knowledge,Personnel and Human Resources,raw
43-3021.00,2.C.10,1.83,1.12,knowledge,Transportation,raw
43-3021.00,2.C.2.a,2.28,1.59,knowledge,Production and Processing,raw
43-3021.00,2.C.2.b,1.33,0.52,knowledge,Food Production,raw
43-3021.00,2.C.3.a,3.42,3.63,knowledge,Computers and Electronics,raw
43-3021.00,2.C.3.b,1.7,1.11,knowledge,Engineering and Technology,raw
43-3021.00,2.C.3.c,1.59,0.94,knowledge,Design,raw
43-3021.00,2.C.3.d,1.17,0.28,knowledge,Building and Construction,raw
43-3021.00,2.C.3.e,1.26,0.29,knowledge,Mechanical,raw
43-3021.00,2.C.4.a,3.49,3.66,knowledge,Mathematics,raw
43-3021.00,2.C.4.b,1.25,0.35,knowledge,Physics,raw
43-3021.00,2.C.4.c,1.2,0.71,knowledge,Chemistry,raw
43-3021.00,2.C.4.d,1.77,1.03,knowledge,Biology,raw
43-3021.00,2.C.4.e,2.48,2.71,knowledge,Psychology,raw
43-3021.00,2.C.4.f,1.52,0.83,knowledge,Sociology and Anthropology,raw
43-3021.00,2.C.4.g,1.42,0.56,knowledge,Geography,raw
43-3021.00,2.C.5.a,2.33,1.46,knowledge,Medicine and Dentistry,raw
43-3021.00,2.C.5.b,1.54,0.7,knowledge,Therapy and Counseling,raw
43-3021.00,2.C.6,2.44,2.6,knowledge,Education and Training,raw
43-3021.00,2.C.7.a,3.72,3.74,knowledge,English Language,raw
43-3021.00,2.C.7.b,1.38,0.5,knowledge,Foreign Language,raw
43-3021.00,2.C.7.c,1.11,0.17,knowledge,Fine Arts,raw
43-3021.00,2.C.7.d,1.08,0.12,knowledge,History and Archeology,raw
43-3021.00,2.C.7.e,1.41,0.7,knowledge,Philosophy and Theology,raw
43-3021.00,2.C.8.a,2.49,2.09,knowledge,Public Safety and Security,raw
43-3021.00,2.C.8.b,2.46,2.53,knowledge,Law and Government,raw
43-3021.00,2.C.9.a,2.28,1.5,knowledge,Telecommunications,raw
43-3021.00,2.C.9.b,2.1,1.53,knowledge,Communications and Media,raw
43-3031.00,2.C.1.a,2.87,2.44,knowledge,Administration and Management,raw
43-3031.00,2.C.1.b,3.89,4.83,knowledge,Administrative,raw
43-3031.00,2.C.1.c,3.35,3.34,knowledge,Economics and Accounting,raw
43-3031.00,2.C.1.d,1.85,1.47,knowledge,Sales and Marketing,raw
43-3031.00,2.C.1.e,4.18,4.4,knowledge,Customer and Personal Service,raw
43-3031.00,2.C.1.f,2.15,1.87,knowledge,Personnel and Human Resources,raw
43-3031.00,2.C.10,1.26,0.4,knowledge,Transportation,raw
43-3031.00,2.C.2.a,1.68,1.27,knowledge,Production and Processing,raw
43-3031.00,2.C.2.b,1.19,0.4,knowledge,Food Production,raw
43-3031.00,2.C.3.a,3.17,3.87,knowledge,Computers and Electronics,raw
43-3031.00,2.C.3.b,1.1,0.1,knowledge,Engineering and Technology,raw
43-3031.00,2.C.3.c,1.1,0.05,knowledge,Design,raw
43-3031.00,2.C.3.d,1.1,0.18,knowledge,Building and Construction,raw
43-3031.00,2.C.3.e,1.48,0.63,knowledge,Mechanical,raw
43-3031.00,2.C.4.a,3.82,3.56,knowledge,Mathematics,raw
43-3031.00,2.C.4.b,1.12,0.11,knowledge,Physics,raw
43-3031.00,2.C.4.c,1.11,0.22,knowledge,Chemistry,raw
43-3031.00,2.C.4.d,1.0,0.0,knowledge,Biology,raw
43-3031.00,2.C.4.e,1.78,1.52,knowledge,Psychology,raw
43-3031.00,2.C.4.f,1.39,0.66,knowledge,Sociology and Anthropology,raw
43-3031.00,2.C.4.g,1.57,1.0,knowledge,Geography,raw
43-3031.00,2.C.5.a,1.19,0.38,knowledge,Medicine and Dentistry,raw
43-3031.00,2.C.5.b,1.22,0.54,knowledge,Therapy and Counseling,raw
43-3031.00,2.C.6,2.66,2.74,knowledge,Education and Training,raw
43-3031.00,2.C.7.a,3.36,3.21,knowledge,English Language,raw
43-3031.00,2.C.7.b,1.14,0.28,knowledge,Foreign Language,raw
43-3031.00,2.C.7.c,1.0,0.0,knowledge,Fine Arts,raw
43-3031.00,2.C.7.d,1.0,0.01,knowledge,History and Archeology,raw
43-3031.00,2.C.7.e,1.14,0.33,knowledge,Philosophy and Theology,raw
43-3031.00,2.C.8.a,1.71,1.15,knowledge,Public Safety and Security,raw
43-3031.00,2.C.8.b,2.05,1.64,knowledge,Law and Government,raw
43-3031.00,2.C.9.a,2.01,0.8,knowledge,Telecommunications,raw
43-3031.00,2.C.9.b,1.74,1.27,knowledge,Communications and Media,raw
43-3041.00,2.C.1.a,3.08,2.34,knowledge,Administration and Management,raw
43-3041.00,2.C.1.b,3.05,3.02,knowledge,Administrative,raw
43-3041.00,2.C.1.c,2.82,2.65,knowledge,Economics and Accounting,raw
43-3041.00,2.C.1.d,2.19,1.23,knowledge,Sales and Marketing,raw
43-3041.00,2.C.1.e,4.73,4.97,knowledge,Customer and Personal Service,raw
43-3041.00,2.C.1.f,2.05,1.39,knowledge,Personnel and Human Resources,raw
43-3041.00,2.C.10,1.15,0.18,knowledge,Transportation,raw
43-3041.00,2.C.2.a,1.21,0.35,knowledge,Production and Processing,raw
43-3041.00,2.C.2.b,1.0,0.0,knowledge,Food Production,raw
43-3041.00,2.C.3.a,2.61,2.92,knowledge,Computers and Electronics,raw
43-3041.00,2.C.3.b,1.2,0.34,knowledge,Engineering and Technology,raw
43-3041.00,2.C.3.c,1.15,0.42,knowledge,Design,raw
43-3041.00,2.C.3.d,1.03,0.03,knowledge,Building and Construction,raw
43-3041.00,2.C.3.e,1.57,0.8,knowledge,Mechanical,raw
43-3041.00,2.C.4.a,3.76,2.92,knowledge,Mathematics,raw
43-3041.00,2.C.4.b,1.02,0.03,knowledge,Physics,raw
43-3041.00,2.C.4.c,1.0,0.0,knowledge,Chemistry,raw
43-3041.00,2.C.4.d,1.0,0.0,knowledge,Biology,raw
43-3041.00,2.C.4.e,1.75,1.59,knowledge,Psychology,raw
43-3041.00,2.C.4.f,1.57,0.99,knowledge,Sociology and Anthropology,raw
43-3041.00,2.C.4.g,1.16,0.41,knowledge,Geography,raw
43-3041.00,2.C.5.a,1.04,0.04,knowledge,Medicine and Dentistry,raw
43-3041.00,2.C.5.b,1.13,0.65,knowledge,Therapy and Counseling,raw
43-3041.00,2.C.6,1.87,1.65,knowledge,Education and Training,raw
43-3041.00,2.C.7.a,3.19,2.8,knowledge,English Language,raw
43-3041.00,2.C.7.b,1.36,0.4,knowledge,Foreign Language,raw
43-3041.00,2.C.7.c,1.11,0.23,knowledge,Fine Arts,raw
43-3041.00,2.C.7.d,1.14,0.14,knowledge,History and Archeology,raw
43-3041.00,2.C.7.e,1.14,0.5,knowledge,Philosophy and Theology,raw
43-3041.00,2.C.8.a,2.26,1.82,knowledge,Public Safety and Security,raw
43-3041.00,2.C.8.b,2.0,1.52,knowledge,Law and Government,raw
43-3041.00,2.C.9.a,1.31,0.23,knowledge,Telecommunications,raw
43-3041.00,2.C.9.b,2.0,1.37,knowledge,Communications and Media,raw
